CHUNK,COLUMN,ENCODING,SORT,INDEX,STORAGE
0,0,3,0,0,0
0,1,1,0,0,0
0,2,1,0,0,0
0,3,0,0,0,0
0,4,2,0,0,1
1,0,3,0,0,0
1,1,4,0,0,0
1,2,1,0,0,1
1,3,4,0,0,0
1,4,2,0,0,1
2,0,3,0,0,0
2,1,1,0,0,0
2,2,4,0,0,0
2,3,4,0,0,0
2,4,4,0,0,0
3,0,0,1,1,0
3,1,3,1,0,0
3,2,0,1,0,0
3,3,4,1,0,0
3,4,4,1,0,0
4,0,0,1,0,0
4,1,3,1,0,0
4,2,0,1,0,0
4,3,4,1,0,0
4,4,4,1,0,0
5,0,0,1,0,0
5,1,3,1,0,0
5,2,0,1,0,0
5,3,4,1,0,0
5,4,4,1,0,0
6,0,0,1,0,0
6,1,3,1,0,0
6,2,4,1,0,0
6,3,0,1,0,1
6,4,4,1,0,0
7,0,0,1,0,0
7,1,3,1,0,0
7,2,4,1,0,0
7,3,0,1,0,1
7,4,4,1,0,0
8,0,3,0,0,0
8,1,4,0,0,0
8,2,1,0,0,1
8,3,4,0,0,1
8,4,4,0,0,0
9,0,3,0,0,0
9,1,4,0,0,0
9,2,1,0,0,1
9,3,4,0,0,1
9,4,4,0,0,0
