QUERY_ID,SCAN_ORDER,SCAN_TYPE,SCAN_COLUMN,SELECTIVITY,SCAN_FACTOR,FREQUENCY
0,0,LessThanEquals,0,0.0001,1,150
0,1,LessThanEquals,4,0.7,0.0001,150
1,0,Between,1,0.1,1,150
1,1,Between,2,0.1,0.1,150
1,2,Between,3,0.2,0.010000000000000002,150
1,3,LessThanEquals,4,0.7,0.0020000000000000005,150
2,0,LessThanEquals,0,0.01,1,100
2,1,Between,1,0.3,0.01,100
2,2,Between,2,0.3,0.003,100
3,0,LessThanEquals,3,0.05,1,250
3,1,Between,1,0.7,0.05,250
3,2,Between,2,0.7,0.034999999999999996,250
4,0,LessThanEquals,0,0.01,1,150
4,1,LessThanEquals,3,0.4,0.01,150
5,0,Between,1,0.01,1,200
5,1,Between,2,0.01,0.01,200
5,2,Between,3,0.5,0.0001,200
